Route:varchar,Direction:varchar,DirectionDescription:varchar,ListOrder:varchar,Active:varchar,RouteType:varchar,dircode:varchar,route_id:int
Route,Direction,DirectionDescription,ListOrder,Active,RouteType,dircode,route_id
58,Northbound,Neshaminy Mall,104,1,Bus,0, 
58,Southbound,Frankford Transportation Center,105,1,Bus,1, 
59,Northbound,Castor-Bustleton,106,1,Bus,0, 
59,Southbound,Arrott Transportation Center,107,1,Bus,1, 
60,Westbound,35th-Allegheny,109,1,Bus,0, 
60,Eastbound,Richmond-Westmoreland,108,1,Bus,1, 
61,Southbound,9th-Market,111,1,Bus,0, 
61,Northbound,Roxborough and Manayunk,110,1,Bus,1, 
62,Southbound,9th-Market,113,1,Bus,0, 
62,Northbound,Andorra,112,1,Bus,1, 
64,Westbound,50th-Parkside,115,1,Bus,0, 
64,Eastbound,Pier 70,114,1,Bus,1, 
65,Northbound,Germantown-Chelten,116,1,Bus,0, 
65,Southbound,69th Street Transportation Center,117,1,Bus,1, 
66,Southbound,Frankford Transportation Center,119,1,Bus,0, 
66,Northbound,Frankford-Knights,118,1,Bus,1, 
67,Northbound,Philadelphia Mills,120,1,Bus,0, 
67,Southbound,Frankford Transportation Center,121,1,Bus,1, 
68,Southbound,UPS,123,1,Bus,0, 
68,Northbound,South Philadelphia,122,1,Bus,1, 
70,Eastbound,Frankford-Gregg,124,1,Bus,0, 
70,Westbound,Fern Rock Transportation Center,125,1,Bus,1, 
73,Northbound,Frankford Transportation Center,127,1,Bus,0, 
73,Southbound,Richmond-Westmoreland,128,1,Bus,1, 
75,Westbound,Wayne Junction,130,1,Bus,0, 
75,Eastbound,Arrott Transportation Center,129,1,Bus,1, 
77,Eastbound,Roosevelt-St. Vincent,131,1,Bus,0, 
77,Westbound,Chestnut Hill and Jenkintown,132,1,Bus,1, 
78,Southbound,Center City,134,1,Bus,0, 
78,Northbound,Cornwells Heights Station,133,1,Bus,1, 
79,Eastbound,Columbus Commons,135,1,Bus,0, 
79,Westbound,29th-Snyder,136,1,Bus,1, 
80,Northbound,Horsham,137,1,Bus,0, 
80,Southbound,Olney Transportation Center,138,1,Bus,1, 
84,Northbound,Bustleton-County Line,139,1,Bus,0, 
84,Southbound,Frankford Transportation Center,140,1,Bus,1, 
88,Northbound,Bethayres and Pennypack Woods,141,1,Bus,0, 
88,Southbound,Frankford Transportation Center,142,1,Bus,1, 
89,Westbound,Front-Dauphin,144,1,Bus,0, 
89,Eastbound,Arrott Transportation Center,143,1,Bus,1, 
90,Eastbound,Plymouth Meeting Mall,145,1,Bus,0, 
90,Westbound,Norristown Transportation Center,146,1,Bus,1, 
91,Westbound,Graterford,148,1,Bus,0, 
91,Eastbound,Norristown Transportation Center,147,1,Bus,1, 
92,Southbound,King of Prussia,150,1,Bus,0, 
92,Northbound,Exton,149,1,Bus,1, 
93,Westbound,Pottstown,152,1,Bus,0, 
93,Eastbound,Norristown Transportation Center,151,1,Bus,1, 
94,Northbound,Montgomery Mall,153,1,Bus,0, 
94,Southbound,Chestnut Hill,154,1,Bus,1, 
95,Southbound,Willow Grove,156,1,Bus,0, 
